AXFLAIR	file_brain_AXFLAIR_200_6002462.h5	3	10	11
AXFLAIR	file_brain_AXFLAIR_210_6001526.h5	2	5	11
AXFLAIR	file_brain_AXFLAIR_201_6002975.h5	4	5	13
AXFLAIR	file_brain_AXFLAIR_209_6001358.h5	6	8	10
AXFLAIR	file_brain_AXFLAIR_200_6002581.h5	5	6	11
AXFLAIR	file_brain_AXFLAIR_201_6002872.h5	7	12	13
AXT1	file_brain_AXT1_202_2020215.h5	2	7	13
AXT1	file_brain_AXT1_201_6002759.h5	3	8	11
AXT1PRE	file_brain_AXT1PRE_200_6002087.h5	4	5	13
AXT1PRE	file_brain_AXT1PRE_203_6000866.h5	3	12	13
AXT1PRE	file_brain_AXT1PRE_203_6000687.h5	4	5	8
AXT1PRE	file_brain_AXT1PRE_203_6000618.h5	3	9	11
AXT1PRE	file_brain_AXT1PRE_200_6002448.h5	2	4	6
AXT1POST	file_brain_AXT1POST_208_2080649.h5	7	10	13
AXT1POST	file_brain_AXT1POST_201_6002675.h5	4	6	8
AXT1POST	file_brain_AXT1POST_200_6002048.h5	4	12	13
AXT1POST	file_brain_AXT1POST_203_6000745.h5	10	12	13
AXT1POST	file_brain_AXT1POST_205_6000120.h5	2	7	13
AXT1POST	file_brain_AXT1POST_200_6002027.h5	5	7	9
AXT1POST	file_brain_AXT1POST_210_6001649.h5	7	8	13
AXT1POST	file_brain_AXT1POST_201_6002886.h5	2	5	6
AXT1POST	file_brain_AXT1POST_209_6001196.h5	4	7	11
AXT1POST	file_brain_AXT1POST_205_6000081.h5	2	6	13
AXT1POST	file_brain_AXT1POST_205_6000029.h5	9	10	12
AXT1POST	file_brain_AXT1POST_200_6002156.h5	2	3	8
AXT1POST	file_brain_AXT1POST_209_6001086.h5	3	4	11
AXT1POST	file_brain_AXT1POST_205_6000044.h5	3	4	8
AXT1POST	file_brain_AXT1POST_208_2080342.h5	2	3	9
AXT1POST	file_brain_AXT1POST_208_2080550.h5	3	10	13
AXT1POST	file_brain_AXT1POST_208_2080730.h5	8	9	12
